Metric,Seed Dataset,Generated Dataset
Distance,1.052837351157119,0.9916656536068562
Dispersion,0.5581701441471607,0.5034367767472072
Isocontour Radius,0.0160936684269754,0.01730658267291254
Vocabulary Size,62,189.0
Unique 3-grams,71,1235.0
Affinity,N/A,0.9014723166583569
