Metric,Seed Dataset,Generated Dataset
Distance,1.0185631612067174,0.9858554596068685
Dispersion,0.525223752968945,0.49236284155554966
Isocontour Radius,0.016336296197088495,0.01723811045027622
Vocabulary Size,55,445.0
Unique 3-grams,120,1985.0
Affinity,N/A,0.8326638818190488
