Metric,Seed Dataset,Generated Dataset
Distance,1.0681630609033386,1.0789347528868087
Dispersion,0.5793474935062963,0.595846314066192
Isocontour Radius,0.01673026603117962,0.018778038274216025
Vocabulary Size,50,445.0
Unique 3-grams,79,1096.0
Affinity,N/A,0.8578224987581234
