Metric,Seed Dataset,Megamodel-Guided Dataset,ToolLLM Baseline Dataset
Distance,1.0531893666963374,0.9916762157381388,1.050787419216431
Dispersion,0.5585006437725895,0.5034451084704799,0.5570209321303223
Isocontour Radius,0.016097662500927905,0.01730647969977547,0.018332802314887778
Vocabulary Size,62,189.0,790.0
Unique 3-grams,71,1235.0,3148.0
Affinity (vs. Seeds),N/A,0.9016056940505581,0.8981472767287603
