Metric,Seed Dataset,Megamodel-Guided Dataset,ToolLLM Baseline Dataset
Distance,0.9112712688267357,0.9469053315225168,0.9596099417839755
Dispersion,0.42440140243373736,0.45455834994674404,0.46539613756826914
Isocontour Radius,0.0140719309295912,0.016606338207522976,0.016842308061834958
Vocabulary Size,65,256.0,1396.0
Unique 3-grams,133,2459.0,9077.0
Affinity (vs. Seeds),N/A,0.9090858535684344,0.8884066101783367
